COE,Skill Count,Skills (Combined)
Data Engineering,31,"Audit & lineage basics, Complex joins, window functions, Data Governance and Security, Data model understanding, Data Modelling, Data observability, Data privacy tools, Data Quality checks & Validation, Data validation checks, Data Warehousing, Dimensional, Feature Store, Google Stitch, Incremental loads & CDC, Indexing basics, Lakehouse & Warehouse Architecture patterns, Layering & SCD implementations, Logging, auditing & Lineage, Multi-job execution control, PII handling, Pipeline design principles, RBAC / RLD & PII handling, Scalable execution environments, SCD basics, Snowflake with dbt, Source Vs target reconciliation, Spark Streaming, SQL, SQL Proficiency, Storage vs compute separation, Understanding of how to handle large volumes of data"
"BI & Reporting, Consulting",7,"Dashboard integration into Salesforce, Dashboard troubleshooting, Data preparation for decision making report, Data Visualization Tools, Microsoft Fabric (MSFabric), Project scoping & planning, Risk identification & mitigation"
TechOps and Automation,26,"Audit logging for traceability, Block detection, Browser automation, Change detection, CI/CD Pipelines, Deployment troubleshooting, Integrations, JavaScript-rendered content, Jenkins, Logging, Logging & alerting, Monitoring, Network Security, Playwright & Selenium, Programming Languages, Proxy configuration, Rate limiting & throttling strategies, Retry & exponential backoff logic, SAST & DAST, Scrapy, Security by-design, Security groups, Terms of Service considerations, Tracing, User access issues, User-agent rotation"
Data Science & AI,32,"AI Document Processing Platforms - AWS Textract, Amazon SageMaker, Anomaly detection, ANOVA, AutoGen, Bias detection tools, Chroma, Cloud AI Platform, CrewAI, Distribution and Statistical measures, EDA, Evaluation & Monitoring - LangSmith, Helicone, Intelligent Document Processing (IDP) systems, Large Language Models (LLMs), Linear and Logistic Regression, LlamaIndex, LTV (Life Time Value), Matplotlib and pandas, MLflow, MLlib, Model Registry, Multi-agent orchestration, Numpy, Pandas, Pinecone, Prompt templates and reusable prompts, Python, Statistical Foundations, Survival Analysis (CPH), Vertex AI, XGBoost"
Full Stack,26,"Antigravity, API Security best practices, Branching, Commits, Diffs and history, Edge functions, Express.JS, Git branching & PRs, GraphQL, Iterative development & incremental delivery, JavaScript, JSON / API extraction, Mobile-friendly architecture, Nest, Next.JS, Node.JS, OAuth 2.0, Package Management (npm/pnpm), Redis, Repository types: local vs remote, REST APIs, ShadCN, Tailwind, Version control (Git), VS Code, Webassembly basics"
Platform Engineering,17,"Amazon S3, AWS, AWS Lambda, Azure, Bicep, Context orchestration across workflows, Docker / Containerization, GCP, Kubeflow, Kubernetes, Microsoft Azure (VM, Functions, SQL), Model serving, Performance & cost optimization by design, Policy as code, Terraform, VPCs, Workspace, environment & compute management"
Cross-Functional / Core Consulting Skills (applies across all COEs),10,"Adaptability, Agile manifesto & principles, Analytical Skills, Business Acumen, Communication Skills, Industry Knowledge, Problem-Solving Skills, Project Management, Technical Skills, Time Management"
